ID,MONTH,DAY,YEAR,PL,XC,VL,CI,MT,CT,NV,RM,NT,TC,CH,CK,RC,HM,PT,MC,CJ,AVERAGE
0,12,31,17,3,6,7,5,5,0,0,0,5,9,0,3,0,0,0,0,1,2.588235294
1,12,29,17,0,3,0,1,0,0,0,0,4,4,1,2,0,0,0,0,6,1.235294118
2,12,28,17,0,2,3,2,0,0,0,0,2,5,1,1,0,0,0,0,3,1.117647059
3,12,22,17,0,4,2,3,3,3,2,0,4,8,0,3,0,0,0,0,0,1.882352941
4,12,21,17,1,2,1,4,1,0,2,0,1,0,0,4,0,0,0,0,2,1.058823529
5,12,20,17,1,4,3,0,1,0,4,0,7,6,0,8,0,2,0,0,0,2.117647059
6,12,19,17,0,6,5,3,3,0,4,0,4,5,2,6,0,0,0,0,0,2.235294118
7,12,18,17,0,3,2,2,1,0,0,5,4,3,0,3,0,0,0,0,0,1.352941176
8,12,16,17,7,8,5,10,9,0,0,0,12,10,7,7,0,8,0,0,0,4.882352941
9,12,15,17,0,8,5,7,5,0,0,2,7,3,4,7,0,3,0,0,4,3.235294118
10,12,14,17,0,1,1,0,0,0,0,0,2,1,0,2,0,0,0,0,2,0.529411765
11,12,13,17,1,3,1,3,0,0,0,0,2,3,2,2,0,0,0,0,2,1.117647059
12,12,12,17,4,3,4,0,0,2,0,0,3,2,0,1,0,3,0,0,3,1.470588235
13,12,10,17,11,14,9,8,7,8,0,6,22,14,2,16,0,4,0,0,4,7.352941176
14,12,8,17,4,5,7,0,1,0,0,0,4,4,0,4,0,5,0,0,0,2
15,12,7,17,4,6,5,4,0,0,0,0,5,0,0,3,0,0,0,0,0,1.588235294
16,11,19,17,0,21,12,15,0,7,0,0,17,3,0,14,0,9,0,0,0,5.764705882
17,11,16,17,14,61,6,35,11,3,0,8,21,14,2,20,0,19,0,0,0,12.58823529
18,11,15,17,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.176470588
19,11,14,17,2,2,0,4,0,0,0,0,4,0,0,2,0,0,0,0,0,0.823529412
20,11,13,17,0,1,1,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0.411764706
21,11,10,17,0,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.411764706
22,11,9,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059
23,11,8,17,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0.352941176
24,11,7,17,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.411764706
25,11,3,17,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0.352941176
26,11,2,17,3,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0.470588235
27,11,1,17,3,5,1,5,3,0,0,0,0,1,0,7,0,1,0,0,0,1.529411765
28,10,31,17,0,4,0,0,3,1,0,0,3,3,0,3,0,0,0,0,0,1
29,10,30,17,0,4,1,9,5,2,0,0,0,0,0,8,0,0,0,0,0,1.705882353
30,10,27,17,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.235294118
31,10,23,17,0,3,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0.705882353
32,10,20,17,0,3,3,0,1,0,0,0,6,3,0,2,0,0,0,0,0,1.058823529
33,10,19,17,0,3,3,3,4,2,0,2,2,1,2,7,0,2,0,0,0,1.823529412
34,10,18,17,0,3,0,2,1,0,0,4,0,2,0,0,0,3,0,0,0,0.882352941
35,10,17,17,0,2,0,6,0,0,0,0,0,2,0,0,0,3,0,0,0,0.764705882
36,10,16,17,2,1,0,2,2,1,0,0,1,0,0,2,0,0,0,0,0,0.647058824
37,10,15,17,21,24,12,12,9,4,0,0,15,16,0,17,0,10,0,0,0,8.235294118
38,10,13,17,4,1,0,1,1,1,0,0,2,0,0,2,0,0,0,0,0,0.705882353
39,10,12,17,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0.352941176
40,10,11,17,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.235294118
41,10,10,17,0,5,1,0,4,0,0,0,0,1,0,3,0,1,0,0,0,0.882352941
42,10,9,17,0,6,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0.647058824
43,10,8,17,15,35,12,8,11,5,0,9,26,28,0,26,0,12,0,0,0,11
44,10,6,17,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0.411764706
45,10,2,17,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0.470588235
46,10,1,17,14,20,0,4,5,4,0,0,10,16,1,13,0,8,0,0,0,5.588235294
47,9,22,17,0,1,0,2,2,0,0,0,2,0,0,3,0,1,0,0,0,0.647058824
48,9,21,17,0,1,0,2,1,0,0,0,2,4,0,4,0,0,0,0,0,0.823529412
49,9,20,17,1,3,2,0,0,0,0,0,0,4,0,5,0,1,0,0,0,0.941176471
50,9,19,17,1,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0.411764706
51,9,17,17,15,25,5,16,14,0,0,1,12,24,0,19,0,0,0,0,0,7.705882353
52,9,13,17,15,14,0,9,8,0,0,0,13,14,0,13,0,0,0,0,0,5.058823529
53,9,9,17,10,5,0,0,5,0,0,7,0,9,0,12,0,0,0,0,0,2.823529412
54,7,4,17,0,4,3,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0.882352941
55,5,5,18,4,6,1,0,0,0,0,2,6,17,1,2,0,4,5,0,2,2.941176471
56,5,4,18,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.235294118
57,5,3,18,0,3,0,2,0,0,0,0,3,0,0,2,0,5,1,0,1,1
58,5,2,18,0,2,0,1,2,0,0,0,2,0,0,4,0,3,1,0,0,0.882352941
59,4,28,18,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0.647058824
60,4,27,18,0,2,0,0,2,0,0,0,3,3,2,2,1,0,0,1,2,1.058823529
61,4,26,18,0,5,1,0,0,0,0,0,0,4,0,4,1,3,0,0,2,1.176470588
62,4,25,18,0,5,2,2,0,0,0,0,6,0,0,3,3,1,0,1,1,1.411764706
63,4,24,18,0,5,0,1,0,0,0,0,2,2,0,5,0,1,0,0,0,0.941176471
64,4,22,18,4,13,4,4,1,0,0,0,10,0,0,5,7,5,5,0,4,3.647058824
65,4,21,18,0,0,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,0.470588235
66,4,20,18,0,2,0,0,0,0,0,0,2,2,0,0,0,1,1,1,5,0.823529412
67,4,19,18,0,2,0,4,0,0,0,0,7,0,1,2,5,1,0,1,1,1.411764706
68,4,18,18,0,2,0,1,0,0,0,0,2,0,0,3,2,1,0,2,0,0.764705882
69,4,17,18,0,3,2,3,0,0,0,0,5,0,0,0,8,2,0,3,2,1.647058824
70,4,16,18,1,4,1,2,0,0,0,0,3,0,1,1,4,0,0,0,1,1.058823529
71,4,15,18,5,18,6,5,0,0,0,0,13,15,4,8,19,13,8,4,8,7.411764706
72,4,14,18,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.352941176
73,4,13,18,0,0,0,1,0,0,0,0,3,0,1,2,2,1,0,0,2,0.705882353
74,4,12,18,0,4,2,0,0,0,0,0,2,2,0,0,2,2,0,1,2,1
75,4,11,18,0,1,1,0,0,0,0,0,0,1,0,0,6,0,3,0,0,0.705882353
76,4,10,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0.176470588
77,4,9,18,3,2,0,0,0,0,0,0,0,0,0,7,3,0,3,0,1,1.117647059
78,4,6,18,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,2,5,0.705882353
79,4,5,18,0,3,3,0,0,0,0,0,6,6,0,3,0,1,0,0,0,1.294117647
80,4,4,18,0,1,0,2,3,0,0,0,1,3,1,3,4,0,0,1,1,1.176470588
81,4,3,18,0,3,0,0,0,0,0,0,6,1,0,4,0,2,0,1,1,1.058823529
82,3,28,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.117647059
83,3,27,18,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,1,0.411764706
84,3,26,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.176470588
85,3,25,18,4,5,7,3,5,1,0,0,14,2,0,12,7,3,4,0,6,4.294117647
86,3,23,18,0,1,0,2,0,1,0,0,0,1,0,1,1,1,0,0,3,0.647058824
87,3,22,18,0,2,3,0,0,0,0,0,2,7,2,2,1,1,2,1,2,1.470588235
88,3,21,18,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0.294117647
89,3,20,18,0,4,1,0,0,1,0,0,2,1,0,0,0,2,0,1,2,0.823529412
90,3,19,18,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.294117647
91,3,16,18,2,1,1,1,2,5,0,0,0,8,1,2,1,5,0,0,3,1.882352941
92,3,15,18,2,2,1,1,0,0,0,0,2,2,2,3,6,3,0,1,0,1.470588235
93,3,14,18,2,0,0,2,0,0,0,0,1,2,0,0,3,0,1,1,1,0.764705882
94,3,13,18,0,3,2,0,1,0,0,0,3,2,0,0,0,3,0,2,1,1
95,3,12,18,3,2,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0.764705882
96,3,8,18,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0.352941176
97,3,7,18,0,1,2,1,2,0,0,0,3,2,0,4,4,1,0,0,1,1.235294118
98,3,6,18,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0.470588235
99,3,5,18,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0.411764706
100,3,4,18,5,5,1,0,0,2,0,0,5,4,0,3,8,1,3,3,3,2.529411765
101,3,2,18,0,5,1,3,0,1,0,0,3,5,0,3,2,1,0,0,1,1.470588235
102,3,1,18,0,2,1,0,0,0,0,1,4,2,0,2,0,0,0,0,1,0.764705882
103,2,28,18,0,1,0,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0.470588235
104,2,27,18,0,1,1,3,0,0,0,1,1,1,0,1,0,2,0,0,0,0.647058824
105,2,26,18,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.176470588
106,2,23,18,0,0,0,0,0,0,0,4,2,3,0,2,0,1,0,0,0,0.705882353
107,2,22,18,0,1,0,1,1,1,0,2,1,4,1,2,0,2,0,0,0,0.941176471
108,2,21,18,0,2,0,3,0,1,0,1,1,2,0,2,0,1,0,0,1,0.823529412
109,2,20,18,0,3,0,0,1,0,0,3,3,3,0,4,0,2,0,0,2,1.235294118
110,2,19,18,0,0,0,3,0,0,0,0,2,2,0,3,0,1,0,0,1,0.705882353
111,2,16,18,2,0,0,1,0,0,0,2,2,1,1,0,0,1,0,0,1,0.647058824
112,2,15,18,0,2,0,2,0,0,0,0,2,0,0,1,0,1,0,0,2,0.588235294
113,2,14,18,1,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,3,0.529411765
114,2,13,18,2,1,2,4,1,1,0,2,5,4,0,0,0,4,0,0,2,1.647058824
115,2,12,18,0,1,0,0,0,0,0,1,2,2,0,1,0,1,0,0,0,0.470588235
116,2,11,18,8,18,11,8,2,2,0,4,13,13,0,6,0,7,0,0,1,5.470588235
117,2,9,18,0,0,0,0,1,0,0,2,1,4,0,3,0,2,0,0,1,0.823529412
118,2,8,18,0,1,1,1,0,0,0,2,0,1,0,1,0,1,0,0,1,0.529411765
119,2,7,18,0,2,0,0,0,0,1,1,6,3,0,6,0,3,0,0,3,1.470588235
120,2,6,18,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0.411764706
121,2,2,18,5,0,4,1,1,0,0,2,3,1,1,1,0,3,0,0,6,1.647058824
122,2,1,18,1,0,1,0,1,1,0,3,3,0,0,3,0,1,0,0,5,1.117647059
123,1,31,18,0,2,3,2,0,0,0,3,3,0,0,3,0,1,0,0,4,1.235294118
124,1,30,18,0,4,4,0,0,0,0,2,0,6,2,4,0,1,0,0,3,1.529411765
125,1,29,18,0,2,2,0,0,0,0,1,2,4,0,1,0,1,0,0,1,0.823529412
126,1,28,18,10,8,12,5,1,6,0,9,13,13,9,13,0,6,0,0,3,6.352941176
127,1,26,18,0,1,3,2,1,0,0,2,4,0,0,6,0,1,0,0,2,1.294117647
128,1,25,18,0,5,5,1,2,0,0,0,4,0,0,4,0,3,0,0,0,1.411764706
129,1,24,18,0,2,0,4,2,0,0,0,2,0,2,2,0,0,0,0,1,0.882352941
130,1,23,18,0,4,1,0,0,0,0,0,1,2,0,0,0,2,0,0,1,0.647058824
131,1,22,18,0,3,2,3,0,1,0,0,0,3,1,2,0,2,0,0,0,1
132,1,21,18,11,14,8,11,1,4,0,0,25,19,0,16,0,9,0,0,1,7
133,1,19,18,1,1,2,0,0,0,0,0,4,4,0,4,0,3,0,0,2,1.235294118
134,1,18,18,0,2,3,1,1,2,0,0,5,5,4,2,0,0,0,0,2,1.588235294
135,1,17,18,0,3,1,4,2,0,0,0,5,4,0,3,0,0,0,0,2,1.411764706
136,1,16,18,0,0,2,0,0,0,0,0,4,5,0,2,0,0,0,0,0,0.764705882
137,1,10,18,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0.411764706
138,1,5,18,1,1,1,4,0,1,0,0,3,7,0,2,0,0,0,0,0,1.176470588
139,1,4,18,0,3,1,2,0,4,0,0,5,3,2,3,0,0,0,0,0,1.352941176
140,1,3,18,1,8,1,3,1,5,0,0,6,6,5,7,0,0,0,0,0,2.529411765
141,1,2,18,3,1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0.647058824
